id,name,tagline,description,votesCount,topics,created_dt,url,host
400642,Supaglue,"Build native product integrations in hours, not weeks","Build native product integrations with your customers' CRM and sales tools. Sync data into your application database or warehouse, write directly to your customers' SaaS tools, or subscribe to real-time change events. Get started in minutes at supaglue.com.",395,"Open Source,SaaS,Developer Tools",2023-06-23,https://www.supaglue.com,supaglue.com
400856,Notion Template Gallery 2.0,"Creator profiles, improved search, over 5,000 templates",Build anything with thousands of templates. Notion’s redesigned Template Gallery gives global creators a place to showcase their work and single place for our community to see what is possible with Notion.,395,"Productivity,Notion",2023-06-22,https://www.notion.so/templates,notion.so
400825,Dev Mode by Figma,A new space in Figma for developers,"Introducing Dev Mode, a new space in Figma for developers. Dev Mode makes it faster and easier to curate, inspect, and implement designs, so teams can seamlessly transition between design and development. Now in beta and free through 2023.",394,"Design Tools,Productivity,Developer Tools",2023-06-21,https://www.figma.com/dev-mode,figma.com
396379,Mokkup,Stunning mock dashboard in minutes,"Mokkup is a cloud based mock dashboard creation tool that helps analysts create aesthetic wireframes without any design experience. With 100+ built-in templates and easy element replication in BI tools, this tool is ideal for turning facts into stories in mins",389,"Design Tools,Analytics,Prototyping,Business Intelligence",2023-06-22,https://mokkup.ai/,mokkup.ai
400673,Remotebase 2.0,Hire pre-vetted remote talent within 24 hours,"Remotebase matches companies with the top 1% of remote talent, including developers, virtual assistants, data analysts, product designers, AI and GPT4 specialists. Each talent is rigorously vetted and available to hire in a day with a 2-week free trial.",361,"Hiring,Remote Work",2023-06-21,https://remotebase.com/explore,remotebase.com
400555,MagicReply by Crisp,Virtual assistant for customer service powered by AI,"Our virtual assistant helps your team to leverage the power of artificial intelligence combined with a taste of human relationships. It's familiar, yet groundbreaking as everything is generated from a unique learning model, attached to your Crisp Workspace.",360,"Productivity,Messaging,Artificial Intelligence",2023-06-22,https://crisp.chat/en/new/,crisp.chat
400039,Jeli.io,"Respond faster, see patterns, learn from your incidents","The Jeli.io platform allows users to respond to, manage, and analyze incidents to build more resilient infrastructure and teams. Jeli aggregates incident data across the tools and people involved to reveal clear, actionable recommendations for your org.",344,"Software Engineering,Developer Tools,Tech",2023-06-20,https://www.jeli.io/,jeli.io
399544,ChatDox,Chat with any Youtube videos,With Chat Dox AI new update you can now chat with any youtube videos. Copy and paste the link to youtube videos or shorts and ask questions about it. Save hundreds of hours of watch time and get done with the videos in few minutes.,328,"Artificial Intelligence,Bots,Video",2023-06-21,https://www.chatdox.com/chat-with-videos,chatdox.com
395818,BeforeSunset AI,Turns your to-dos into the perfect schedule,"BeforeSunset is an AI daily planner tool for busy professionals that plans your day based on your schedule and to-do list. Or, you can create a plan yourself by syncing your calendar. It provides analytics to get insights for sunsetting the day stress-free.",1663,"Productivity,SaaS,Artificial Intelligence",2023-06-15,https://www.beforesunset.ai/,beforesunset.ai
399336,Framer AI,Start your next site with AI,"✨ Start with AI—design your portfolio, startup landing page, or book club site with ease. Choose from infinite color palettes and typeface combos. Customizing is a breeze with AI-generated copy and color shuffling. Your imagination is the limit.",1582,"Design Tools,Website Builder,Artificial Intelligence",2023-06-14,https://www.framer.com/ai/,framer.com
399081,IndiePage,Showcase your startups on a page,"Linktree for entrepreneurs. Everything you build, your apps, your revenue, in one simple link in bio.",1122,Social Media,2023-06-12,https://indiepa.ge/,indiepa.ge
399093,Fastgen,Visual low-code backend builder,Fastgen is a low-code API and workflow builder with an integrated Postgres DB to create any custom business logic or complete backends. Build through a drag-and-drop interface and directly test and deploy on the platform.,1075,"API,Developer Tools,No-Code",2023-06-12,https://fastgen.com/,fastgen.com
393505,SlashPage,Create websites in seconds to build your first 1K community,"Create a website in seconds, complete with a feedback community, a product story blog, and more. Analyze the activities of visitors who have been notified via email, directly on your content. It's free if public!",1024,"Productivity,User Experience,Customer Communication,Marketing,Website Builder,No-Code,Community",2023-06-13,https://slashpage.com,slashpage.com
395110,Playbook AI,"Creative storage for AI art, organize prompts & iterations","Play, create, store all your AI art! Playbook is visual cloud storage built for creative work, and AI art is quickly becoming critical in every artist's toolkit. We'll organize your prompts, art, and iterations - so you can focus on your craft.",977,"Design Tools,Productivity,Art,Photography,Artificial Intelligence",2023-06-14,https://www.playbook.com/ai/,playbook.com
393060,Webstudio Beta,An open source Webflow alternative,"Webstudio Beta is our first production-grade release. You can build a static site with Builder UX inspired by Webflow, improved by us. Publish it for free to Webstudio Cloud. Enjoy performance of CloudFlare Workers and modern front-end architecture.",967,"Design Tools,Website Builder,No-Code",2023-06-13,https://webstudio.is,webstudio.is
398671,Uizard Autodesigner,"Text to design, automated by AI",Autodesigner is Uizard's latest AI design feature that enables users to generate multi screen designs with a simple text prompt. Enter a few simple phrases and let AI bring your vision to life in seconds.,885,"Design Tools,Prototyping,Artificial Intelligence,UX Design",2023-06-14,https://uizard.io/autodesigner/,uizard.io
398555,Binocs,The simplest crypto tax software and accounting platform,"The Simplest Crypto Tax Software And Accounting Platform. Calculate your crypto taxes & track portfolios across 300+ Exchanges, Wallets and chains 📊💸 You focus on investing and we'll take care of the rest.",885,"Investing,Crypto,Web3",2023-06-12,https://binocs.co/,binocs.co
398372,Composer,"Build, backtest and execute trading algorithms with AI","Meet Composer. Build trading algorithms with AI, customize with our no-code drag-and-drop editor, backtest the whole strategy, then execute—all in one platform. No coding skills required.",846,"Fintech,Investing,Artificial Intelligence",2023-06-12,https://www.composer.trade,composer.trade
397849,Deeto AI,The first AI customer reference platform,"By tapping into the power of satisfied customers, Deeto connects prospects with live references, facilitating meaningful interactions and exchange of firsthand experiences and creates user generated content all based on robust AI engine.",827,"Sales,Marketing,Artificial Intelligence",2023-06-12,https://deeto.ai,deeto.ai
399724,Plotline,In-app engagement platform for consumer apps,"Plotline enables growth and marketing teams in consumer companies to build native in-app experiences for their users, to improve feature adoption and retention. We help you engage your users on the app without any developer effort.",797,"User Experience,SaaS,Marketing automation",2023-06-16,https://www.plotline.so/,plotline.so
399549,Creasquare,Create and schedule social media content with AI,"AI-powered, all-in-one social media content marketing platform. Create social media content 10x faster and generate converting captions in seconds. Grow your social media presence; it’s free 👉creasquare.io👈",780,Social Media,2023-06-16,https://creasquare.io,creasquare.io
398450,Project Atlas Agents,The first no-code autonomous agents management platform,"The first no-code project management interface to build and iterate useful AI agents. We've trained our agents like employees for over a year, solving all the roadblocks to manage and share functional agent processes in simple language.",762,"SaaS,Artificial Intelligence,No-Code",2023-06-16,https://agents.cheatlayer.com,agents.cheatlayer.com
398786,Dynamo,Intelligent social media skyrocketing tool,"Your every social media post, blown up!&nbsp;&nbsp;Earn back your time, explode your metrics, and cut the routine of managing social media. Dynamo scales your style, works for you, and lets you focus on growing and converting only.",658,"Productivity,Social Media,Marketing,Artificial Intelligence,Growth Hacks ",2023-06-15,https://www.dynamo.fyi,dynamo.fyi
399792,Fix My Code with AI,Make experiences accessible & usable with compliant code,"The first coding assistant with expertise in digital accessibility & ADA compliance. Use it to produce more inclusive and usable end-user experiences! Interact conversationally, or simply feed it code. It outputs accessible code and explains changes.",644,"Developer Tools,Artificial Intelligence,Diversity & Inclusion",2023-06-18,https://userway.org/fixmycode,userway.org
399673,AlphaCTR,Your personal AI creative artist is here,The first ever AI platform trained to generate high performance thumbnails and ad creatives. Get hundreds of high performance image options in just a few clicks.,639,"Design Tools,Marketing,Artificial Intelligence",2023-06-15,https://alphactr.com/,alphactr.com
398943,Uvodo,"eCommerce store, live in minutes","Uvodo is an easy-to-use eCommerce platform with a mobile-friendly management dashboard and a quick storefront. Launch your store in minutes, enable built-in payment gateways, and use free tools to start selling.🎉",628,"SaaS,E-Commerce",2023-06-13,https://uvodo.com,uvodo.com
399393,Scalenut,Leading the way into the new era of AI-SEO,"Scalenut automates the entire SEO workflow. Saves 90% of time and delivers 10x organic traffic. The only platform that gets you a powerful SEO strategy, beats your competitors, creates content at scale and decodes search guidelines. Your AI-SEO secret weapon.",556,"SEO,SaaS,Artificial Intelligence",2023-06-14,https://scalenut.com/,scalenut.com
399238,Coda AI,Your new AI work assistant,"More than a writing assistant, Coda AI lets you automate entire workflows by summarizing notes, analyzing data, and simultaneously generating results for every row in a table.",553,"Productivity,Artificial Intelligence,Tech",2023-06-13,https://coda.io/product/ai,coda.io
398762,Hotjar AI for Surveys,Say hello to your new survey assistant,"Your entire research process is about to get a whole lot easier. Hotjar AI for Surveys instantly generates survey questions for any goal, analyzes the open-text responses, and then prepares a summary report—all in just a few clicks.",552,"User Experience,Artificial Intelligence,UX Design",2023-06-15,https://www.hotjar.com/product-ai-surveys/,hotjar.com
398574,RestoGPT AI,AI that turns menus into food delivery apps,"RestoGPT - the first AI-powered online ordering storefront builder for restaurants. Submit a menu - get a commission-free online storefront with built-in payment processing, on-demand delivery driver fleets, menu management, AI order manager, CRM, and more 🍔",521,"Artificial Intelligence,Tech,Food Delivery",2023-06-12,https://restogpt.ai/,restogpt.ai
395802,Bito AI,Use ChatGPT and OpenAI in your IDE/CLI to save 2 hours a day,"Now Bito understands your codebase and marries it with the brilliance of GPT-4! Join 100,000 devs using Bito’s AI from their IDE/CLI to easily write code, explain code, write unit tests, comment code, check performance, and explain concepts.",501,"Software Engineering,Developer Tools,Artificial Intelligence",2023-06-13,https://bito.ai,bito.ai
399491,html.to.design 2.0,Convert any website into fully editable Figma designs,Import a single webpage or entire websites into Figma! The plugin now comes with great new features like: - Bulk imports - Multi-viewport - Multi-themes - Text and color styles generation Try it now 👉 https://html.to.design,488,Design Tools,2023-06-16,https://html.to.design,html.to.design
395702,Tagmate UA to GA4 Migrator,Migrate your UA tags to GA4 with one click,"Tagmate Migrator helps you to migrate all of your UA tags to GA4 with precision and speed. Being a low-code/ no-code platform, you don’t need to worry about migrating each tag manually and spend hours in the process.",488,"Productivity,Analytics,Marketing",2023-06-13,https://www.tagmate.app/ga4migrationtool,tagmate.app
391457,Sivi AI,Generative AI to magically turn text to visual designs,Ideas to visual designs in 2 minutes. Generate instant designs 10X faster by writing a prompt or adding your copy and assets. Get visuals in any dimension. You can also edit the generated designs.,1267,"Design Tools,Marketing,Artificial Intelligence",2023-06-06,https://sivi.ai/,sivi.ai
394790,Dorik 3.0,Build professional websites 10x cheaper without code,"Dorik is a white-label website-building platform for building beautiful websites. Build landing pages, websites, blogs, job boards, and more for yourself or your clients without writing code. Join 35k+ makers building websites for themselves and their clients.",914,"SaaS,Website Builder,No-Code",2023-06-05,https://dorik.com,dorik.com
397825,Winn,"Type less, win more with an AI-powered sales assistant","Winn.ai is a real-time sales assistant that joins you in your virtual meetings, captures all the information you need during the call, and auto-populates your CRM with just a click of a button. We handle your sales busywork so you can type less and win more.",897,"Productivity,Sales,Artificial Intelligence",2023-06-11,https://winn.ai/,winn.ai
398693,Factual On-Brand AI Writer,"Create on-brand, document-aware content on the latest topics","Craft fact-checked, on-brand, SEO-friendly content on trending topics and from your proprietary documents/data within seconds. Turn your content creation process into a breeze while staying authentic and competitive.",878,"Productivity,Marketing,Artificial Intelligence",2023-06-09,https://writesonic.com/ai-article-writer-generator,writesonic.com
398150,Humance Connect,Grow revenue and change the world with each sale,"Supercharge your B2C company with Humance Connect. Contribute 1% of each sale to restore our planet and combat climate change. Customers can track their impact, you boost conversion rates by +14%, and enhance customer retention by +32%. Join today!",785,"User Experience,Marketing",2023-06-07,https://connect.humance.io,connect.humance.io
393847,Argil,No-code AI automations on your data,"Save hours on your work by creating AI automations, all in no-code, tailored to your data. -Train the AI on your data (image, for now) -Experiment in our playground -Scale by building workflows in a few clicks (+API) Join our community of builders!",775,"Productivity,Artificial Intelligence,No-Code",2023-06-06,https://argil.ai,argil.ai
398480,Softr Universe,"Discover, share and use templates created by Softr users","Softr Universe is the new medium for anyone to discover, share and use templates created by the Softr community. It is a perfect place for you to showcase your Softr skills, generate new leads for your businesses, and be recognized as a top no-coder!",743,"Productivity,Maker Tools,No-Code",2023-06-08,https://www.softr.io/softr-universe,softr.io
396361,Forma Cloud,75% less on AWS bill - effortless savings,Drastically reduce your AWS costs with our intuitive and autonomous product. Installation takes just 10 minutes.,730,"SaaS,Developer Tools,Artificial Intelligence",2023-06-10,https://aws.amazon.com/marketplace/pp/prodview-3upfi5nbbcxxw,aws.amazon.com
398600,Throne 2.0,Privacy-first gifting platform for creators,"Throne is an all-in-one wishlist builder for content creators. Creators use Throne to let their fans support them in the most engaging and secure way imaginable. Create your wishlist, add items superfast, and go live within seconds! It's as easy as it sounds!",702,"E-Commerce,Monetization,Community",2023-06-09,https://throne.com/,throne.com
398533,Zing by Trainn,"Screen record, edit, and publish product videos in mins","Zing lets you record any workflow, automagically applies zooms and spotlights, adds voiceovers in 20+ languages, and offers everything you need to create a professional video. Create walkthroughs, tutorials, demos, and training videos in mins.",668,"Chrome Extensions,Productivity,SaaS,Video",2023-06-08,https://trainn.co/zing-by-trainn/,trainn.co
397754,ClientZen,Customer feedback insights 6x faster with AI,"ClientZen replaces the slow feedback analysis process with fully automated tagging that you can control. Get real-time reporting on customer issues. Works with Intercom, Zendesk, and 80+ sources.",649,"User Experience,Developer Tools,Artificial Intelligence",2023-06-07,https://clientzen.io/,clientzen.io
394046,SalesHookup 2.0,Simplifying networking for sales professionals,SalesHookup is a platform that saves sales professionals 10+ hrs a month with networking by simplifying the process into 3 steps: 1. Select a time slot 2. We'll match you with another member and send you an intro 3. Connect on our video platform and have fun,606,"Sales,Social Networking,Community",2023-06-08,https://www.saleshookup.com,saleshookup.com
398923,AI Product Image Generator,Generate professional product visuals 10x cheaper with AI,"Create captivating product visuals in seconds! Remove backgrounds, choose from stunning templates, or customize with prompt. Say goodbye to expensive photography and hello to stunning images.",594,"Design Tools,Marketing,Artificial Intelligence",2023-06-11,https://creatives.collov.com,creatives.collov.com
397641,Pitch Avatar,Your AI assistant in slides delivery,"Let your slides speak for you, interact for you and present for you with AI-powered platform. 📜Generate scripts 📣Create voice-overs 🤵Make avatar presenting instead of you 🤝Join the session online 📊Get detailed analytics Check it out 👉 https://slides.roi4presenter.com/psku1",539,"Productivity,Sales,SaaS,Artificial Intelligence",2023-06-07,https://roi4presenter.com/pitch-avatar/,roi4presenter.com
397294,Label Studio 1.8.0 Release,Open source data labelling platform for AI model tuning,"We’re on a mission to help data scientists build the most accurate AI models! Label Studio is the most popular open source data labeling platform used to fine-tune LLMs and prepare training data. Label any type of data, integrate ML models, and more! 💪🏻",525,"Open Source,Artificial Intelligence,Data Science",2023-06-06,https://labelstud.io/guide/install.html,labelstud.io
398659,caspa AI,Create and edit AI images for your brand,"Create and customise AI photos in minutes using AI, a few features inc. - Your own products - Realistic human models - Text to image AI stock photos - Multiple products in an image (inc. resizing) - Start to finish AI editing, ready to post online or offline",454,"Design Tools,Artificial Intelligence,Photo editing",2023-06-09,https://www.caspa.ai,caspa.ai
397196,WP Umbrella,The life-changing solution for your WordPress agency,"Revolutionize your agency operations with our all-in-one platform for managing multiple WordPress sites. Streamline tasks with automated backups, bulk actions, real-time monitoring, and then prove your value with impactful reports!",434,"Productivity,SaaS,WordPress",2023-06-08,https://wp-umbrella.com,wp-umbrella.com
397894,Portaly,Website to link-in-bio with a click,"Transform your website or profile page into a Link-in-Bio with a single click. Dive into further customization with Portaly's 20+ featured building blocks, all accessible through a visually intuitive UI. Power by AI.",432,"Website Builder,Artificial Intelligence,No-Code",2023-06-05,https://portaly.cc/,portaly.cc
397891,Paragraphica,A camera that takes photos using location data,"Paragraphica is a context-to-image camera that uses location data and artificial intelligence to visualize a ""photo"" of a specific place and moment. The camera exists both as a physical prototype and a virtual camera that you can try.",418,"Prototyping,Photography,Artificial Intelligence",2023-06-05,https://bjoernkarmann.dk/project/paragraphica,bjoernkarmann.dk
398972,Promptology,AI prompt engineering business model guide,AI tools and LLMs have got millions of users in the last 6 months. Many users are monetizing their knowledge of AI tools and LLMs. They use their knowledge to improve the efficiencies and operations of businesses. This guide decodes the business model.,401,"Education,Artificial Intelligence,Business",2023-06-11,https://shushantlakhyani.gumroad.com/l/zaeiev,shushantlakhyani.gumroad.com
398469,Supabase Vector,The open source backend for AI applications,"Supabase Vector is an AI toolkit to power any AI application. - Store vector embeddings at scale, alongside your users data. - Works with any language, stack, or programming environment. - Example projects to get you started. - Start for free on our cloud.",377,"Developer Tools,Artificial Intelligence,Tech",2023-06-08,https://www.supabase.com/vector,supabase.com
396317,AI Marketing by Martekings,Exclusive AI solutions & guides to skyrocket your growth,"Martekings continuously seek and embed the most innovative tools to maximize the efficiency of marketing processes. Besides, we develop exclusive AI solutions and write outstanding guides. We make all our best findings open to the public on a single webpage.",376,"Marketing,Artificial Intelligence,Tech",2023-06-07,https://martekings.com/ai-marketing,martekings.com
398445,Bucket,From feature launch to customer satisfaction,"Delight and retain customers by repeatedly shipping features that matter with Bucket’s all-in-one solution for product teams. Bucket gathers engagement metrics and qualitative insights, so you can consistently measure customer satisfaction of any feature.",368,"Productivity,User Experience,Analytics",2023-06-08,https://bucket.co,bucket.co
398719,Pensieve AI,"Chat with, ask Qs to any PDF document, powered by ChatGPTᵀᴹ","Analyze any PDF document - legal, financial, sales reports, training manuals and more...in a super-simple manner. Just upload a PDF to Pensieve. The ChatGPTᵀᴹ-powered tool learns every piece of information, allowing you to ask Qs and chat with the PDF 💥",364,"Productivity,Artificial Intelligence,Bots",2023-06-09,https://pensieve-app.springworks.in/,pensieve-app.springworks.in
398459,Sqriblr,Add images to ChatGPT responses with a simple command,"Generate full blog articles with images directly in ChatGPT in seconds with a single command. No manual image sourcing, it's all done ""automagically"" from a direct integration in ChatGPT. Cut down your Draft-to-Publish time and easily create appealing content.",364,"Productivity,Artificial Intelligence,Tech",2023-06-09,https://sqriblr.com,sqriblr.com
392337,Momentum Page,"Launch your website in seconds, get users in minutes","Page is a stupid-simple no-code landing page builder. With Page you can launch your product website in seconds, then distribute it with social media, create and feature your best content, engage your audience, grow and.. sell 🎉",1276,"Social Media,Marketing,No-Code",2023-05-29,https://page.mmntm.build,page.mmntm.build
395213,Speechki ChatGPT Plugin,Transform any generated texts into audio right in ChatGPT,"Speechki transforms your ChatGPT experience with lifelike voice responses. This easy-to-use plugin seamlessly connects with ChatGPT, providing realistic text-to-speech output. Let ChatGPT not just talk, but speak!",1229,"SaaS,Artificial Intelligence,Audio",2023-06-01,https://speechki.io,speechki.io
394756,Siit,AI assistant for employee support,"Siit AI, powered by GPT-4, instantly answers all employees questions based on your internal knowledge bases, Notion and Confluence, directly via Slack and Teams. This is a revolution in your employee experience.",1191,"Slack,Artificial Intelligence,Notion",2023-05-31,https://www.siit.io/,siit.io
396805,Freepik AI image generator,Turn your words into images with AI,"The AI Image Generator is a new digital art tool that allows you to create unique images using your words. All you have to do is to type a text in the search bar, and you’ll have stunning images in one of the available art styles.",971,"Design Tools,Artificial Intelligence,Graphics & Design",2023-05-30,https://www.freepik.com/ai/image-generator,freepik.com
396873,Recraft.AI,Vector art generation with AI,"Recraft is an infinite AI artboard, where you can generate and edit vector art, icons, 3d images and illustrations in a wide range of styles suitable for websites, print and marketing. It is free for everyone, and allows commercial use of the generated images.",939,"Design Tools,Artificial Intelligence,Graphic Design",2023-05-31,https://recraft.ai,recraft.ai
396922,Magicflow 2.0,"Deep work tracker for builders, makers and founders","A time tracker focused on deep work, designed from the ground up for builders, makers & founders, to help you avoid context switching. 🤖 Real-time coaching from an AI work coach 🦾 No more fiddling to categorise your work, we do it with ChatGPT + embeddings",791,"Productivity,Time Tracking,Artificial Intelligence",2023-05-30,https://magicflow.com,magicflow.com
397579,Tiles,The most beautiful link in bio on the internet,"Introducing Tiles, the most beautiful link in bio. Organize and show everything you want to the world. Share your social profiles, websites, newsletters, videos and many more in the most elegant way. Use for free, visit Tiles.bio today!",744,"Design Tools,Social Media,Marketing,Website Builder,No-Code,Web Design",2023-06-03,https://tiles.bio,tiles.bio
395906,Nas.io for WhatsApp groups,Make money from your WhatsApp chat groups and communities,"Anyone can make their first dollar from chat groups by selling memberships, events, or video lessons. Chat groups are the future of social media - and Nas.io gives you all the tools you need to run a successful and an engaged chat group. All for free!",720,"Messaging,Community",2023-05-31,https://nas.io/whatsapp,nas.io
396233,Liffery,Your personal research assistant,"Meet your push-ad-free, AI-powered research assistant! Every day we are met with an overwhelming choice of products and information. Liffery is your quiet space to capture, consider, collaborate and decide.",674,"Social Media,Advertising,Virtual Assistants",2023-05-30,https://www.liffery.com,liffery.com
397058,GoChess,The most powerful Chess board ever invented,"Engage in thrilling battles against opponents from around the globe or AI, as their moves come to life right before your eyes. GoChess — experience the Magic with Self-moving pieces, Real-time light coaching, and Online Chess.com and Lychess integration.",649,"Board Games,Crowdfunding",2023-05-31,https://www.kickstarter.com/projects/1928372437/gochess-ai-robotic-smart-chess-board-with-coaching-lights,kickstarter.com
397104,Quest AI,Convert napkin drawings into React components or Apps w/ AI,"Build your ideas faster than ever with the power of AI/GPT. Got a wireframe (or a Figma design)? Generate working ReactJS. Clean and extendable code based on your design system. Export as JS/TS, React or NextJS. Transform your design-to-dev workflow!",626,"Developer Tools,Artificial Intelligence,No-Code",2023-06-02,https://www.quest.ai,quest.ai
394633,Paige,Rewrite your web presence in a page generated in 30 seconds,"It's time to do your business, not a website! Paige is a new standard of landing pages: just describe in simple words answering 6 questions what you need, and get a unique website done in 30 seconds with all the copywriting, design and graphics in one place ✅",612,"Website Builder,Artificial Intelligence,No-Code",2023-05-31,https://thepaige.co/,thepaige.co
396472,CapeChat,Keep sensitive data private while still using ChatGPT,"CapeChat automatically encrypts your documents and redacts any sensitive data. It’s powered by the ChatGPT API, so you get the best language model while preserving your privacy.",602,"Productivity,Artificial Intelligence,Bots",2023-05-30,https://chat.capeprivacy.com,chat.capeprivacy.com
397743,Dazzle Illustrations,Human made abstract vector illustrations,"Unleash your creativity with Dazzle Illustrations, a captivating pack of 500 high-quality abstract vector illustrations. With intricate lines, expressive brush strokes, and eye-catching gradients made to level up your designs.",581,"Design Tools,Productivity,Illustration",2023-06-04,https://www.getillustrations.com/illustration-pack/dazzle-illustrations-abstract-hand-drawn-vector-illustrations-pack,getillustrations.com
397467,Zendesk AI by Caffeinated CX,AI to superpower your support team on Zendesk,Support reps using Caffeinated CX on Zendesk resolve 3x as many tickets in the same amount of time. Free 14 day trial.,573,"Customer Success,Customer Communication,Artificial Intelligence",2023-06-02,https://caffeinatedcx.com/,caffeinatedcx.com
397587,iA Presenter,"Fast, focused, beautiful presentations","iA Presenter’s text-based interface puts the story at the center of your presentation. The design engine adjusts the layout of your slides to your screen. There is a teleprompter for presenting. A fresh, fast and fun way to create and hold presentations.",530,"Productivity,Apple,Business",2023-06-02,https://ia.net/presenter,ia.net
